x,y,pos_x_real,pos_x_est,precisao_x
2271.0,917.0,30.39829635620117,30.899502,98.35120548052129
1059.0,1366.0,9.58401584625244,9.581487,99.97361080858296
246.0,1102.0,22.33041954040528,22.366785,99.8371481155229
1417.0,1155.0,13.786457061767578,13.671295,99.1646737429639
144.0,846.0,175.63150024414062,173.87277,98.99862608649417
2712.0,1544.0,3.705587148666382,3.7541566,98.68929163198456
1227.0,1170.0,14.065718650817873,13.939713,99.10416147562795
1820.0,1262.0,9.104452133178713,9.087897,99.81816772479732
1986.0,1048.0,16.021677017211914,15.954228,99.57901650398162
2341.0,1401.0,5.578654766082764,5.608158,99.4711387112736
1499.0,1505.0,6.676076412200928,6.7091007,99.50533353684628
2746.0,943.0,19.049654006958008,19.383669,98.24660913811807
1542.0,1081.0,16.765350341796875,16.609602,99.07101036283578
1677.0,1013.0,21.207977294921875,21.030901,99.16504842843226
2481.0,1170.0,8.47780704498291,8.4665,99.86663104461661
1102.0,1373.0,9.34807300567627,9.344858,99.96560963827889
2788.0,1141.0,7.744682788848877,7.729451,99.80332817031042
1755.0,832.0,176.92135620117188,176.12508,99.54992437073503
497.0,1138.0,18.775535583496094,18.755415,99.89283596924274
1698.0,966.0,27.23723793029785,27.04006,99.27607238491845
1580.0,851.0,103.13450622558594,103.797424,99.35722958776735
1304.0,1201.0,12.64256477355957,12.545065,99.22879693196415
1230.0,1115.0,16.57538604736328,16.390137,98.88238302212726
354.0,1087.0,22.946304321289062,22.950623,99.98118112074074
959.0,1191.0,14.360958099365234,14.288127,99.49285309959335
1365.0,1515.0,6.885612964630127,6.9164,99.55287944185172
619.0,1290.0,12.491570472717283,12.503248,99.9065150212305
1870.0,1401.0,6.843046188354492,6.865173,99.67665460610576
631.0,1130.0,18.61478042602539,18.562407,99.71864354609752
2510.0,1289.0,6.307829856872559,6.317486,99.84692116508037
1585.0,1279.0,9.580893516540527,9.554636,99.72593876648058
378.0,963.0,40.81333160400391,40.876488,99.84525613213236
850.0,1318.0,11.11477279663086,11.112816,99.98239334502763
2102.0,962.0,23.556867599487305,23.609556,99.7763344451027
302.0,1406.0,10.886018753051758,10.9502125,99.41031035273625
194.0,984.0,37.49871063232422,37.660366,99.56890404150045
1483.0,905.0,48.04920196533203,47.466434,98.78714429639697
2794.0,1467.0,3.938420295715332,3.9750392,99.0702122873319
2567.0,1226.0,7.030187606811523,7.0283217,99.9734592602018
1671.0,1144.0,13.00245475769043,12.92049,99.36962293408963
458.0,1400.0,10.592850685119627,10.643741,99.51958192950308
2156.0,1454.0,5.578639984130859,5.6157904,99.33406021716252
1067.0,1183.0,14.228551864624023,14.13522,99.3440492642019
734.0,1287.0,12.203202247619627,12.20194,99.98965300443852
2212.0,1148.0,10.280779838562012,10.256078,99.75972569657702
1019.0,838.0,179.32431030273438,177.1257,98.77394849882549
206.0,1183.0,17.701438903808594,17.7486,99.73357475315312
2584.0,1480.0,4.355527877807617,4.3967113,99.05445510084951
741.0,866.0,99.95723724365234,99.00361,99.04596348765169
2428.0,1459.0,4.87353515625,4.9124556,99.2013928025749
2304.0,1605.0,4.232463836669922,4.2913156,98.60951632019396
187.0,1558.0,8.922661781311035,9.011094,99.00890211711325
1978.0,923.0,33.12582015991211,33.29782,99.48076490127808
2308.0,1592.0,4.294168949127197,4.351448,98.66611885481413
2633.0,879.0,37.97163772583008,39.479774,96.02825466692559
1182.0,1130.0,16.02855110168457,15.869631,99.00851744441682
1300.0,1574.0,6.491179466247559,6.5316963,99.37581677500681
2173.0,1584.0,4.613804340362549,4.6699443,98.7832178860997
2547.0,952.0,20.116924285888672,20.363306,98.77525134487689
465.0,1035.0,27.4329833984375,27.39175,99.84969530238374
372.0,1263.0,14.055435180664062,14.089045,99.76087976055679
1541.0,1576.0,5.971853733062744,6.0189404,99.21152262257279
2716.0,1338.0,5.116645812988281,5.1334586,99.67140970910268
1672.0,1287.0,9.128329277038574,9.110974,99.8098779668957
2519.0,1363.0,5.44933557510376,5.47234,99.5778470321143
2247.0,950.0,23.818115234375,23.98824,99.28573670804333
1917.0,1393.0,6.807884693145752,6.8295617,99.681589536413
9.0,1599.0,8.807544708251953,8.908869,98.84957630330317
2097.0,1460.0,5.671431064605713,5.708964,99.33821277259774
943.0,1211.0,13.709355354309082,13.650698,99.57213417652959
2850.0,1431.0,4.0221099853515625,4.0521502,99.25312176347627
414.0,1188.0,16.64655876159668,16.657173,99.93623670036783
1323.0,936.0,38.644439697265625,37.944496,98.18876001835267
1229.0,1525.0,7.091776847839356,7.1222763,99.5699320640316
350.0,1064.0,25.012414932250977,25.01744,99.979906523776
2471.0,1471.0,4.68341064453125,4.7239966,99.13340943596627
2593.0,1209.0,7.221347332000732,7.2165685,99.93382312496819
530.0,1244.0,14.115245819091797,14.123979,99.93813217405311
2645.0,1030.0,12.521484375,12.542891,99.82904444021995
2550.0,1297.0,6.076294422149658,6.087353,99.81800079777678
2042.0,983.0,21.34820556640625,21.328203,99.90630423222184
1786.0,1348.0,7.760974407196045,7.767773,99.9123983169516
2413.0,1531.0,4.42439079284668,4.4736414,98.88683877559379
2257.0,1577.0,4.482470989227295,4.5378838,98.76378967201795
1586.0,1347.0,8.371282577514648,8.368458,99.96625626600178
1247.0,1499.0,7.318512439727783,7.3423033,99.67492251287185
2244.0,1609.0,4.330039024353027,4.3893905,98.62930925309033
649.0,1587.0,7.678483963012695,7.746276,99.1171181823353
962.0,1302.0,11.126924514770508,11.109143,99.8401961152357
1937.0,1088.0,14.040322303771973,13.972561,99.51737987392633
2118.0,836.0,131.25253295898438,130.75728,99.62267050742835
1623.0,1074.0,16.703481674194336,16.562437,99.1555975008664
1456.0,943.0,34.91511917114258,34.441402,98.64323322650615
2019.0,1582.0,4.941473007202148,4.9965253,98.88591356573663
910.0,1210.0,13.86849880218506,13.813564,99.60389006458799
719.0,1363.0,10.5767822265625,10.599101,99.78898270240637
1337.0,1154.0,14.205436706542969,14.074948,99.08141932989068
1980.0,1531.0,5.374363899230957,5.4218173,99.11704148876687
2250.0,1203.0,8.709990501403809,8.698472,99.86775555734879
614.0,1356.0,11.005038261413574,11.034341,99.7337347099588
